#    L    TT             EE             BB             TE             PP             TP             EP          
   164   0.352726E+04   0.987791E+00   0.000000E+00  -0.355424E+02   0.708656E-07   0.201288E-03  -0.870463E-06
   165   0.350839E+04   0.977841E+00   0.000000E+00  -0.347828E+02   0.704889E-07   0.197825E-03  -0.873081E-06
   166   0.348851E+04   0.967660E+00   0.000000E+00  -0.339901E+02   0.701139E-07   0.194391E-03  -0.875793E-06
   167   0.346807E+04   0.957271E+00   0.000000E+00  -0.331712E+02   0.697403E-07   0.191002E-03  -0.878417E-06
   168   0.344754E+04   0.946697E+00   0.000000E+00  -0.323328E+02   0.693678E-07   0.187678E-03  -0.880774E-06
   169   0.342738E+04   0.935959E+00   0.000000E+00  -0.314817E+02   0.689963E-07   0.184436E-03  -0.882683E-06
   170   0.340805E+04   0.925073E+00   0.000000E+00  -0.306247E+02   0.686255E-07   0.181293E-03  -0.883964E-06
   171   0.339001E+04   0.914068E+00   0.000000E+00  -0.297685E+02   0.682551E-07   0.178270E-03  -0.884437E-06
   172   0.337374E+04   0.902966E+00   0.000000E+00  -0.289199E+02   0.678850E-07   0.175382E-03  -0.883923E-06
   173   0.335968E+04   0.891789E+00   0.000000E+00  -0.280858E+02   0.675150E-07   0.172648E-03  -0.882240E-06
   174   0.334830E+04   0.880561E+00   0.000000E+00  -0.272729E+02   0.671447E-07   0.170087E-03  -0.879208E-06
   175   0.334006E+04   0.869317E+00   0.000000E+00  -0.264883E+02   0.667740E-07   0.167716E-03  -0.874649E-06
   176   0.333532E+04   0.858072E+00   0.000000E+00  -0.257371E+02   0.664027E-07   0.165548E-03  -0.868425E-06
   177   0.333402E+04   0.846864E+00   0.000000E+00  -0.250178E+02   0.660309E-07   0.163577E-03  -0.860576E-06
   178   0.333601E+04   0.835716E+00   0.000000E+00  -0.243274E+02   0.656589E-07   0.161794E-03  -0.851185E-06
   179   0.334112E+04   0.824648E+00   0.000000E+00  -0.236629E+02   0.652868E-07   0.160186E-03  -0.840337E-06
   180   0.334921E+04   0.813700E+00   0.000000E+00  -0.230213E+02   0.649148E-07   0.158744E-03  -0.828114E-06
   181   0.336011E+04   0.802899E+00   0.000000E+00  -0.223997E+02   0.645433E-07   0.157457E-03  -0.814599E-06
   182   0.337366E+04   0.792276E+00   0.000000E+00  -0.217952E+02   0.641722E-07   0.156314E-03  -0.799877E-06
   183   0.338972E+04   0.781854E+00   0.000000E+00  -0.212047E+02   0.638019E-07   0.155305E-03  -0.784029E-06
   184   0.340812E+04   0.771669E+00   0.000000E+00  -0.206255E+02   0.634326E-07   0.154418E-03  -0.767141E-06
   185   0.342871E+04   0.761759E+00   0.000000E+00  -0.200543E+02   0.630645E-07   0.153644E-03  -0.749294E-06
   186   0.345132E+04   0.752146E+00   0.000000E+00  -0.194885E+02   0.626977E-07   0.152971E-03  -0.730573E-06
   187   0.347581E+04   0.742860E+00   0.000000E+00  -0.189251E+02   0.623325E-07   0.152390E-03  -0.711059E-06
   188   0.350202E+04   0.733941E+00   0.000000E+00  -0.183613E+02   0.619691E-07   0.151889E-03  -0.690838E-06
   189   0.352978E+04   0.725422E+00   0.000000E+00  -0.177942E+02   0.616076E-07   0.151457E-03  -0.669991E-06
   190   0.355894E+04   0.717335E+00   0.000000E+00  -0.172209E+02   0.612483E-07   0.151085E-03  -0.648602E-06
   191   0.358935E+04   0.709713E+00   0.000000E+00  -0.166388E+02   0.608914E-07   0.150760E-03  -0.626755E-06
   192   0.362084E+04   0.702592E+00   0.000000E+00  -0.160448E+02   0.605371E-07   0.150474E-03  -0.604532E-06
   193   0.365326E+04   0.696003E+00   0.000000E+00  -0.154361E+02   0.601856E-07   0.150215E-03  -0.582016E-06
   194   0.368647E+04   0.689983E+00   0.000000E+00  -0.148102E+02   0.598370E-07   0.149973E-03  -0.559291E-06
   195   0.372029E+04   0.684568E+00   0.000000E+00  -0.141640E+02   0.594917E-07   0.149736E-03  -0.536440E-06
   196   0.375459E+04   0.679794E+00   0.000000E+00  -0.134952E+02   0.591498E-07   0.149495E-03  -0.513546E-06
   197   0.378920E+04   0.675696E+00   0.000000E+00  -0.128007E+02   0.588114E-07   0.149239E-03  -0.490692E-06
